state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,mdl,uncertainty,qualifier,method_type,method_code,method_name,state_name,county_name,date_of_last_change
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-25,00:00,1993-05-25,07:00,49.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-26,00:00,1993-05-26,07:00,50.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-27,00:00,1993-05-27,07:00,64.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-28,00:00,1993-05-28,07:00,54.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-29,00:00,1993-05-29,07:00,56.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-30,00:00,1993-05-30,07:00,55.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-31,00:00,1993-05-31,07:00,59.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-01,00:00,1993-06-01,07:00,66.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-02,00:00,1993-06-02,07:00,65.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-03,00:00,1993-06-03,07:00,55.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-04,00:00,1993-06-04,07:00,47.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-05,00:00,1993-06-05,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
